freq,age,unit,sex,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,Y15-74,PC_ACT,T,HR	16.1 b	17.3 	17.3 	16.2 	13.0 	11.1 	8.3 	6.6 	7.4 	7.5 	6.8 	6.1 
A,Y15-74,PC_ACT,T,HU	10.7 	9.8 	7.5 	6.6 	5.0 	4.0 	3.6 b	3.3 	4.1 	4.0 	3.6 	4.1 
A,Y15-74,PC_ACT,T,IE	15.5 	13.8 	11.9 	9.9 	8.4 	6.7 	5.8 	5.0 	5.9 	6.2 b	4.5 	4.3 
A,Y15-74,PC_ACT,T,IS	6.0 	5.4 	4.9 	4.0 	3.0 	2.7 	2.7 	3.5 	5.5 b	6.1 	3.8 	3.5 
A,Y15-74,PC_ACT,T,IT	10.9 	12.4 	12.9 	12.0 	11.7 	11.3 	10.6 b	9.9 	9.3 	9.5 	8.1 	7.7 
A,Y15-74,PC_ACT,T,LT	13.4 	11.8 	10.7 	9.1 	7.9 	7.1 	6.2 	6.3 	8.5 	7.1 	6.0 	6.9 
A,Y15-74,PC_ACT,T,LU	5.1 	5.9 	5.9 	6.7 b	6.3 	5.5 	5.6 	5.6 	6.8 	5.3 	4.6 	5.2 
A,Y15-74,PC_ACT,T,LV	15.1 	11.9 	10.9 	9.9 	9.7 	8.7 	7.4 	6.3 	8.1 	7.6 	6.9 	6.5 
A,Y15-74,PC_ACT,T,ME	20.0 	19.5 	18.0 	17.6 	17.8 	16.1 	15.2 	15.2 	17.9 	: 	: 	: 
A,Y15-74,PC_ACT,T,MK	31.0 	29.0 	28.0 	26.1 	23.7 	22.4 	20.8 	17.3 	16.4 	: 	: 	: 
A,Y15-74,PC_ACT,T,MT	6.2 	6.1 	5.7 	5.4 	4.7 	4.0 	4.0 	4.1 	4.9 	3.8 	3.5 	3.5 
A,Y15-74,PC_ACT,T,NL	6.8 	8.2 	8.4 	7.9 	7.0 	5.9 	4.9 	4.4 	4.9 	4.2 	3.5 	3.6 
A,Y15-74,PC_ACT,T,NO	3.5 	3.9 	3.8 	4.7 	4.9 	4.4 	4.0 	3.9 	4.7 	4.4 	3.2 	3.6 
A,Y15-74,PC_ACT,T,PL	10.4 	10.6 	9.2 	7.7 	6.3 	5.0 	3.9 	3.3 b	3.2 	3.4 	2.9 	2.8 
A,Y15-74,PC_ACT,T,PT	16.6 	17.2 	14.6 	13.0 	11.5 	9.2 	7.2 	6.6 	7.1 	6.7 	6.2 	6.5 
A,Y15-74,PC_ACT,T,RO	8.7 	9.0 	8.6 	8.4 	7.2 	6.1 	5.3 	4.9 	6.1 	5.6 	5.6 	5.6 
A,Y15-74,PC_ACT,T,RS	26.0 	24.2 	20.7 	19.0 	16.5 	14.6 	13.8 	11.3 	9.8 	11.2 	9.6 	9.5 
A,Y15-74,PC_ACT,T,SE	8.1 	8.1 	8.0 	7.5 	7.1 	6.8 	6.5 	6.9 	8.5 	8.9 	7.5 	7.7 
A,Y15-74,PC_ACT,T,SI	8.9 	10.1 	9.7 	9.0 	8.0 	6.6 	5.1 	4.4 	5.0 	4.8 	4.0 	3.7 
A,Y15-74,PC_ACT,T,SK	13.9 	14.1 	13.1 	11.5 	9.6 	8.1 	6.5 	5.7 	6.7 	6.8 	6.1 	5.8 
A,Y15-74,PC_ACT,T,TR	8.2 	8.8 	9.9 b	10.3 	10.9 	10.9 	10.9 	13.7 	13.2 	12.0 b	10.5 	9.4 
A,Y15-74,PC_POP,T,AT	3.5 	3.8 	4.0 	4.1 	4.4 	4.0 	3.6 	3.3 	4.1 	4.2 	3.3 	3.5 
A,Y15-74,PC_POP,T,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.0 	7.9 	6.8 
A,Y15-74,PC_POP,T,BE	4.6 	5.1 	5.2 	5.2 	4.7 	4.3 b	3.6 	3.3 	3.4 	3.8 	3.4 	3.4 
A,Y15-74,PC_POP,T,BG	7.8 	8.3 	7.4 	6.1 	5.1 	4.4 	3.8 	3.3 b	3.7 	3.2 	2.6 	2.7 
A,Y15-74,PC_POP,T,CH	3.3 	3.5 	3.6 	3.6 	3.7 	3.7 	3.6 	3.4 	3.7 	3.8 	3.1 	3.1 
A,Y15-74,PC_POP,T,CY	8.0 	10.7 	11.0 	10.0 	8.6 	7.4 	5.7 	4.9 	5.2 	5.0 	4.5 	4.2 
A,Y15-74,PC_POP,T,CZ	4.4 	4.5 	3.9 	3.3 	2.6 	1.9 	1.5 	1.3 	1.7 	1.9 	1.5 	1.7 
A,Y15-74,PC_POP,T,DE	3.4 	3.3 	3.2 	2.9 	2.7 	2.4 	2.2 	2.1 	2.5 b	2.5 	2.2 	2.2 
A,Y15-74,PC_POP,T,DK	5.3 	5.0 	4.7 	4.2 	4.1 b	4.0 b	3.5 	3.5 	3.9 	3.6 	3.2 	3.7 b
A,Y15-74,PC_POP,T,EA20	7.3 	7.7 	7.5 	7.0 	6.5 	5.9 	5.3 	4.9 	5.0 	5.0 	4.4 	4.3 
A,Y15-74,PC_POP,T,EE	6.8 	5.9 	5.0 	4.5 	4.9 	4.2 	3.9 	3.2 	5.0 	4.4 	4.1 	4.7 
A,Y15-74,PC_POP,T,EL	14.6 	16.4 	15.7 	14.8 	14.2 	13.0 	11.7 	10.7 	10.0 	8.6 	7.5 	6.7 
A,Y15-74,PC_POP,T,ES	16.5 	17.3 	16.0 	14.5 	12.8 	11.2 	9.9 	9.1 	9.9 	9.6 d	8.5 d	8.0 d
A,Y15-74,PC_POP,T,EU27_2020	6.9 	7.3 	6.9 	6.4 	5.9 	5.3 	4.7 	4.4 	4.6 	4.5 	4.0 	4.0 
A,Y15-74,PC_POP,T,FI	5.2 	5.4 	5.7 	6.1 	5.8 	5.7 	4.9 	4.5 	5.1 	5.2 	4.6 	5.0 
A,Y15-74,PC_POP,T,FR	6.2 	6.6 	6.5 	6.5 	6.3 	5.9 	5.7 	5.3 	5.0 	4.9 d	4.6 d	4.7 d
A,Y15-74,PC_POP,T,HR	9.2 b	9.7 	10.0 	9.5 	7.4 	6.4 	4.7 	3.7 	4.2 	4.4 	4.0 	3.6 
A,Y15-74,PC_POP,T,HU	6.2 	5.8 	4.5 	4.1 	3.1 	2.6 	2.3 b	2.1 	2.7 	2.6 	2.4 	2.8 
A,Y15-74,PC_POP,T,IE	10.2 	9.1 	7.8 	6.6 	5.6 	4.5 	3.9 	3.3 	3.8 	4.3 b	3.1 	3.1 
A,Y15-74,PC_POP,T,IS	4.8 	4.3 	4.0 	3.3 	2.5 	2.3 	2.2 	2.8 	4.3 b	4.8 	3.0 	2.8 
A,Y15-74,PC_POP,T,IT	6.0 	6.8 	7.1 	6.7 	6.6 	6.4 	6.1 b	5.7 	5.2 	5.3 	4.6 	4.4 
A,Y15-74,PC_POP,T,LT	8.6 	7.6 	7.1 	6.1 	5.3 	4.8 	4.3 	4.4 	6.0 	5.0 	4.2 	4.8 
A,Y15-74,PC_POP,T,LU	3.2 	3.7 	3.7 	4.3 b	4.0 	3.5 	3.6 	3.7 	4.4 	3.5 	3.1 	3.5 
A,Y15-74,PC_POP,T,LV	10.0 	7.9 	7.2 	6.7 	6.6 	6.0 	5.2 	4.4 	5.7 	5.1 	4.7 	4.5 
A,Y15-74,PC_POP,T,ME	10.7 	10.4 	10.1 	10.1 	10.3 	9.4 	9.1 	9.3 	10.2 	: 	: 	: 
A,Y15-74,PC_POP,T,MK	18.1 	17.1 	16.6 	15.3 	13.8 	13.1 	12.2 	10.2 	9.6 	: 	: 	: 
A,Y15-74,PC_POP,T,MT	3.5 	3.6 	3.4 	3.2 	2.9 	2.5 	2.5 	2.7 	3.2 	2.5 	2.4 	2.5 
A,Y15-74,PC_POP,T,NL	5.0 	6.0 	6.1 	5.7 	5.1 	4.2 	3.6 	3.3 	3.6 	3.1 	2.6 	2.7 
A,Y15-74,PC_POP,T,NO	2.5 	2.8 	2.7 	3.4 	3.5 	3.1 	2.8 	2.8 	3.4 	3.2 	2.4 	2.6 
A,Y15-74,PC_POP,T,PL	6.1 	6.3 	5.5 	4.6 	3.8 	3.0 	2.4 	2.0 b	1.9 	2.1 	1.8 	1.8 
A,Y15-74,PC_POP,T,PT	10.5 	10.8 	9.2 	8.2 	7.3 	5.9 	4.7 	4.3 	4.5 	4.4 	4.1 	4.4 
A,Y15-74,PC_POP,T,RO	4.5 	4.7 	4.5 	4.5 	3.8 	3.3 	2.9 	2.7 	3.4 	3.2 	3.2 	3.2 
A,Y15-74,PC_POP,T,RS	14.3 	13.4 	11.6 	10.6 	9.5 	8.5 	8.1 	6.6 	5.7 	6.6 	5.7 	5.8 
A,Y15-74,PC_POP,T,SE	5.7 	5.8 	5.8 	5.4 	5.1 	4.9 	4.7 	5.0 	6.2 	6.6 	5.6 	5.8 
A,Y15-74,PC_POP,T,SI	5.6 	6.3 	6.1 	5.7 	5.0 	4.2 	3.3 	2.9 	3.2 	3.1 	2.6 	2.4 
A,Y15-74,PC_POP,T,SK	9.0 	9.2 	8.5 	7.5 	6.4 	5.4 	4.3 	3.8 	4.4 	4.5 	4.1 	3.9 
A,Y15-74,PC_POP,T,TR	4.2 	4.6 	5.2 b	5.5 	5.9 	6.0 	6.1 	7.6 	6.8 	6.4 b	5.8 	5.3 
A,Y15-74,THS_PER,T,AT	224 	249 	263 	271 	290 	267 	237 	220 	272 	284 	221 	241 
A,Y15-74,THS_PER,T,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	242 	211 	181 
A,Y15-74,THS_PER,T,BE	374 	423 	430 	430 	395 	357 b	305 	278 	291 	324 	294 	294 
A,Y15-74,THS_PER,T,BG	444 	469 	417 	337 	280 	240 	206 	165 b	187 	157 	127 	132 
A,Y15-74,THS_PER,T,CH	204 	219 	227 	229 	238 	234 	231 	216 	238 	248 	204 	204 
A,Y15-74,THS_PER,T,CY	52 	69 	70 	63 	54 	47 	37 	33 	35 	34 	31 	30 
A,Y15-74,THS_PER,T,CZ	367 	369 	324 	268 	211 	155 	121 	109 	137 	150 	118 	134 
A,Y15-74,THS_PER,T,DE	2066 	2026 	1941 	1809 	1650 	1510 	1368 	1280 	1555 b	1563 	1388 	1362 
A,Y15-74,THS_PER,T,DK	224 	210 	198 	181 	176 b	173 b	153 	152 	171 	155 	139 	162 b
A,Y15-74,THS_PER,T,EA20	18557 	19618 	18974 	17769 	16510 	14967 	13542 	12562 	12972 	12825 	11397 	11179 
A,Y15-74,THS_PER,T,EE	68 	59 	50 	43 	47 	40 	38 	31 	48 	43 	40 	48 
A,Y15-74,THS_PER,T,EL	1208 	1344 	1277 	1198 	1146 	1043 	935 	847 	791 	678 	588 	522 
A,Y15-74,THS_PER,T,ES	5811 	6051 	5610 	5056 	4481 	3917 	3479 	3248 	3531 	3476 d	3079 d	2937 d
A,Y15-74,THS_PER,T,EU27_2020	22913 	24030 	22928 	21241 	19427 	17433 	15629 	14490 	15178 	15032 	13352 	13205 
A,Y15-74,THS_PER,T,FI	209 	221 	232 	250 	236 	233 	202 	184 	209 	212 	190 	204 
A,Y15-74,THS_PER,T,FR	2877 	3048 	3042 	3073 	2992 	2807 	2701 	2519 	2381 	2365 d	2234 d	2263 d
A,Y15-74,THS_PER,T,HR	297 b	314 	320 	299 	231 	195 	143 	111 	125 	128 	117 	106 
A,Y15-74,THS_PER,T,HU	473 	440 	343 	308 	234 	192 	169 b	158 	196 	193 	174 	201 
A,Y15-74,THS_PER,T,IE	343 	308 	267 	225 	195 	158 	138 	121 	139 	160 b	121 	120 
A,Y15-74,THS_PER,T,IS	11 	10 	9 	8 	6 	5 	6 	7 	11 b	13 	8 	8 
A,Y15-74,THS_PER,T,IT	2719 	3078 	3223 	3009 	2978 	2873 	2709 b	2540 	2301 	2367 	2027 	1947 
A,Y15-74,THS_PER,T,LT	197 	172 	158 	134 	116 	103 	90 	92 	126 	105 	90 	106 
A,Y15-74,THS_PER,T,LU	13 	15 	15 	18 b	17 	16 	17 	17 	21 	17 	15 	18 
A,Y15-74,THS_PER,T,LV	156 	121 	108 	98 	96 	86 	73 	62 	79 	71 	65 	62 
A,Y15-74,THS_PER,T,ME	50 	49 	47 	47 	48 	44 	42 	43 	48 	: 	: 	: 
A,Y15-74,THS_PER,T,MK	292 	277 	269 	249 	225 	214 	199 	166 	156 	: 	: 	: 
A,Y15-74,THS_PER,T,MT	11 	12 	12 	11 	10 	9 	10 	11 	13 	10 	10 	11 
A,Y15-74,THS_PER,T,NL	625 	756 	769 	723 	647 	547 	459 	423 	466 	408 	350 	359 
A,Y15-74,THS_PER,T,NO	94 	107 	104 	131 	137 	122 	113 	111 	136 	128 	96 	107 
A,Y15-74,THS_PER,T,PL	1749 	1792 	1566 	1304 	1063 	843 	659 	567 b	552 	599 	511 	502 
A,Y15-74,THS_PER,T,PT	833 	857 	725 	645 	574 	465 	366 	339 	354 	344 	323 	351 
A,Y15-74,THS_PER,T,RO	695 	719 	693 	683 	581 	500 	429 	400 	497 	459 	465 	456 
A,Y15-74,THS_PER,T,RS	791 	740 	635 	576 	511 	454 	430 	351 	299 	344 	296 	296 
A,Y15-74,THS_PER,T,SE	406 	414 	414 	391 	371 	363 	349 	377 	466 	493 	421 	440 
A,Y15-74,THS_PER,T,SI	89 	101 	98 	90 	79 	67 	52 	45 	51 	48 	41 	38 
A,Y15-74,THS_PER,T,SK	386 	394 	366 	323 	274 	229 	184 	161 	186 	188 	170 	162 
A,Y15-74,THS_PER,T,TR	2202 	2442 	2843 b	3035 	3308 	3421 	3512 	4445 	4045 	3915 b	3591 	3274 
